No,Reference,SMPname,Smiles,Molar ratio,Tg,High Temp
1,"Liu et al, 2006[6]", P(MMA-co-VP)/PEG,"{C=C(C)C(=O)OCCCC, C=CN1CCCC1=O, C=C(C)C(=O)OCCOC(=O)C(C)C}",0.34:0.21:0.45,72,92
2,"Xiao et al, 2015[7]",Polymide,"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.5:0.5,238,258
3,"Choong et al , 2016[11]",tba-DEGDA(60-40),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.71:0.29,69.5,69.06
4,"Nair et al., 2010[12]",TMPTMP/TATATO,"{CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS, C=CCn1c(=C)n(CC=C)c(=O)n(CC=C)c1=O}",0.5:0.5,36,39.2
5,"Arrietta et al , 2013[14]",Acrylate Polymer,"{C=C(C)C(=O)OCC1CCCCC1, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.9:0.1,46,67.61
6,"Zheng et al, 2015 [16]",EPON1,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.5:0.5,40,63.49
7,"Jo et al, 2019 [17]",ESMP-0-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.73:0.27,140,180
8,"Jo et al, 2019 [17]",ESMP-0-19,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.75:0.25,125.9,135.9
9,"Choong et al , 2016[19]",tba-DEGDA(90-10),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.94:0.06,53.9,56.08
10,"Choong et al , 2016[19]",tba-DEGDA(50-50),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.63:0.37,74.1,78.19
11,"Lakhera et al, 2012 [20]",tba-co-XLS(10%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.96:0.03:0.01,53.31,55.77
12,"Ortega et al, 2012[21]",tba-co-PEGDMA(10%),"{C=C(C)C(=O)OCCCC, CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O}",0.964:0.02:0.016,56,66
13,"Zheng et al, 2015 [16]",EPON4,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.67:0.33,80,89.86
14,"Santiago et al, 2016[22]",90-10-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.81:0.19:0,60,100
15,"Santiago et al, 2016[22]",80-20-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.83:0.16:0.01,68,108
16,"Santiago et al, 2016[22]",50-50-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.88:0.1:0.02,96,136
17,"Santiago et al, 2016[22]",30-70-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.91:0.06:0.03,117,157
18,"Rimdusit et al, 2013[24]",ENDB1/1/1,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N}",0.34:0.33:0.33,47,62.3
19,"Rimdusit et al, 2013[24]",ENDB1/1/0.8/0.2,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.27:0.07,72,71.15
20,"Rimdusit et al, 2013[24]",ENDB1/1/0.6/0.4,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.21:0.13,80,121.947
21,"Rimdusit et al, 2013[24]",ENDB1/1/0.2/0.8,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.07:0.27,92,135.32
22,"Rimdusit et al, 2013[24]",ENDB1/1/0.4/0.6,"{CC(COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6, CC(C)(COCC1CO1)COCC2CO2, CC(N)COCC(C)N, CC(C)(c3ccc(C2COCN(c1ccccc1)C2)cc3)c6ccc5CCN(c4ccccc4)Cc5c6}",0.33:0.33:0.13:0.21,85,126.71
23,"Cheng et al , 2020[25]",DER-NMA-0.1TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,  CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.476:0.476:0.048,134.09,135.97
24,"Chen et al, 2018[28]",EVC1S9,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.45:0.05,36.2,24.59
25,"Chen et al, 2018[28]",EVC2S8,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.4:0.1,40.9,30.22
26,"Jo et al, 2018 [29]",D230-0-1,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.758:0.242,104.5,106.23
27,"Jo et al, 2018 [29]",D230-0-2,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.735:0.265,125.9,135.9
28,"Jo et al, 2018 [29]",D230-9,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.71:0.23:0.06,133.1,132.02
29,"Jo et al, 2018 [29]",D230-20,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.66:0.21:0.13,155.9,157.26
30,"Jo et al, 2018 [29]",D400-3,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.74:0.24:0.02,112,114.63
31,"Jo et al, 2018 [29]",D400-8,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.71:0.23:0.06,118.6,126.75
32,"Jo et al, 2018 [29]",D400-14,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N }",0.68:0.22:0.1,128.4,135.32
33,"Xie et al, 2009[30]",Ref,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N }",0.67:0.33,93.4,99.99
34,"Santiago et al, 2016[22]",60-40-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.86:0.12:0.02,68,108
35,"Xu et al, 2009[33]",HYPU0-1,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1}",0.5:0.5,57,82
36,"Xu et al, 2009[33]",HYPU1-4,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1, OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO}",0.165:0.165:0.67,50.5,75.5
37,"Xu et al, 2009[33]",HYPU1-2,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1, OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO}",0.25:0.25:0.5,47.5,72.5
38,"Xu et al, 2009[33]",HYPU1-1,"{CCO[Si](CCCN(CCOC(=O)CCO)CCOC(=O)CCO)(OCC)OCC, CC1(C)CC(N=C=O)CC(C)(N=C=O)C1, OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO}",0.34:0.33:0.33,35.9,60.9
39,"Nair et al., 2010[12]",tba/PEGDMA,"{C=C(C)C(=O)OCCCC, C=C(C)C(=O)OCCOC(=O)C(=C)C}",0.5:0.5,35,41.05
40,"Grishchuck et al., 2011 [34]",EP(DETA)-Ref,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN}",0.67:0.33,130,160
41,"Grishchuck et al., 2011 [34]",EP(DETA/DDM)-Ref,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.67:0.165:0.165,155,185
42,"Grishchuck et al., 2011 [34]",EP(DDM)-Ref,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.67:0.33,174,204
43,"Grishchuck et al., 2011 [34]",EP(DETA)/BOX 75/25,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN}",0.75:0.25,134,164
44,"Grishchuck et al., 2011 [34]",EP(DDM)/BOX 75/25,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2}",0.75:0.25,164,194
45,"Grishchuck et al., 2012 [35]",DGEBA/BOX(75/25),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN }",0.75:0.25,164,194
46,"Grishchuck et al., 2012 [35]",DGEBA/BOX(50/50),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN}",0.5:0.5,173,203
47,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(67.5/22.5/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.675:0.225:0.1,159,189
48,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(45/45/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCNCCN, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6}",0.45:0.45:0.1,157,187
49,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(42.5/42.5/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5CN(c4ccccc4)COc5c6}",0.425:0.425:0.15,150,180
50,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(40/40/20),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.4:0.4:0.2,147,177
51,"Grishchuck et al., 2012 [35]",DGEBA/BOX(25/75),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.25:0.75,183,213
52,"Grishchuck et al., 2012 [35]",DGEBA/BOX/ETBN(22.5/67.5/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.225:0.675:0.1,173,203
53,"Grishchuck et al., 2012 [35]",TGPAP/BOX(50/50),"{c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.5:0.5,191,221
54,"Grishchuck et al., 2012 [35]",TGPAP/BOX/ETBN(45/45/10),"{c3cc(N(CC1CO1)CC2CO2)ccc3OCC4CO4,CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6,CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.45:0.45:0.1,185,215
55,"Grishchuck et al., 2012 [35]",TGDDM/BOX(50/50),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6}",0.5:0.5,206,236
56,"Grishchuck et al., 2012 [35]",TGDDM/BOX/ETBN(45/45/10),"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C/C=C\CC(=O)OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)C(=O)OCC(O)COc6ccc(C(C)(C)c5ccc(OCC4CO4)cc5)cc6}",0.45:0.45:0.1,189,219
57,"Xiao et al, 2015[7]",Polymide(A1),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.504:0.496,240,260
58,"Xiao et al, 2015[7]",Polymide(A2),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.512:0.488,241,261
59,"Xiao et al, 2015[7]",Polymide(A3),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.519:0.481,243,263
60,"Xiao et al, 2015[7]",Polymide(A4),"{CC(C)(c3ccc(Oc2ccc1c(=O)oc(=O)c1c2)cc3)c6ccc(Oc5ccc4c(=O)oc(=O)c4c5)cc6, Nc2ccc(Oc1ccc(N)cc1)cc2}",0.524:0.476,242,262
61,"Jo et al, 2019 [17]",ESMP-10-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.71:0.04:0.25,135.8,175.8
62,"Jo et al, 2019 [17]",ESMP-20-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.66:0.08:0.26,126.8,166.8
63,"Jo et al, 2019 [17]",ESMP-30-21,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOCC1CO1)cc2)c4ccc(OCCOCCOCCOCC3CO3)cc4, CNc2ccc(Cc1ccc(NC)cc1)cc2}",0.6:0.13:0.27,121.2,161.2
