No,Reference,SMPname,Smiles,Molar ratio,Tg,High Temp
116,"Feldkamp & Rousseau, 2010 [40]",D-148(002)M2070,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, NCCOCCOCCN, COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N}",0.5:0.489:0.011,91.39,122.69
117,Altuna et al. 2016 [41],CS11,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CC(O)(CC(=O)O)C(=O)O, O=C(O)CCCCCCCCC(=O)O}",0.524:0.238:0.238,53,74.57
118,Altuna et al. 2016 [41],S12,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O}",0.55:0.45,30,55.36
119,Altuna et al. 2016 [41],S15,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O}",0.6:0.4,51,66.2
120,Altuna et al. 2016 [41],S20,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O}",0.67:0.33,54,79.04
121,Altuna et al. 2016 [41],G15,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4,O=C(O)CCCC(=O)O}",0.6:0.4,62,83.06
122,"Fan et al., 2013[42]",EPD230(0),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.68:0.32,83,91.98
123,"Fan et al., 2013[42]",EPD230(20),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.678:0.053:0.269,76,83.54
124,"Fan et al., 2013[42]",EPD230(40),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.674:0.112:0.214,69,79.29
125,"Fan et al., 2013[42]",EPD230(60),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.67:0.179:0.151,63,67.93
126,"Fan et al., 2013[42]",EPD230(80),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.665:0.254:0.081,53,62.41
127,"Fan et al., 2014[43]",EP06(0),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.33:0.67,95,97.42
128,"Fan et al., 2014[43]",EP06(25),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.264:0.063:0.673,80.5,84.79
129,"Fan et al., 2014[43]",EP06(50),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.19:0.14:0.67,66.9,72.96
130,"Fan et al., 2014[43]",EP06(75),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.104:0.226:0.67,54.05,57.01
131,"Fan et al., 2014[43]",EP06(85),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.065:0.266:0.669,46.43,48.79
132,"Santiago et al, 2016b[44]",90D400-10LP,"{C(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N, NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.719:0.265:0.016,60,100
133,"Santiago et al, 2016b[44]",60D400-40LP,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N, NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.779:0.172:0.049,87,127
134,"Santiago et al, 2016b[44]",300D400-70LP,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N, NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.832:0.084:0.084,117,157
135,"Wei et al., 2015[45]",A,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6, CC(=O)C1CCCCC1C(C)=O}",0.33:0.67,113,117.68
136,"Wei et al., 2015[45]",B,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.1765:0.1176:0.7059,121,127.62
137,"Wei et al., 2015[45]",C,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.25:0.0625:0.6875,128,135.55
138,"Wei et al., 2015[45]",D,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6, O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.212:0.091:0.697,135,140.26
139,"Wei et al., 2015[45]",E,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6, O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.1765:0.1176:0.7059,142,150.9
140,"Ma et al., 2017 [46]",MDS-EPO,"{Nc2ccc(SSc1ccc(N)cc1)cc2, C1OC1COC3COC4C(OC2CO2)COC34}",0.33:0.67,41.4,79.79
141,"Ma et al., 2017 [46]",MDA-EPO,"{Nc2ccc(Cc1ccc(N)cc1)cc2, C1OC1COC3COC4C(OC2CO2)COC34}",0.33:0.67,37.3,77
142,Hassan et al. 2015 [47],33 Bis A,"{Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2, CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4}",0.33:0.67,187,191.92
143,Hassan et al. 2015 [47],44 Bis A,"{Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2, CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4}",0.33:0.67,219,224.14
144,"Santiago et al, 2016[22]",70-30-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.85:0.14:0.01,77,107
145,"Santiago et al, 2016[22]",40-60-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.89:0.08:0.03,104,144
146,"Santiago et al, 2016[22]",90-10-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.807:0.188:0.005,56,96
147,"Santiago et al, 2016[22]",80-20-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.82:0.17:0.01,64,104
148,"Santiago et al, 2016[22]",70-30-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.84:0.14:0.02,70,110
149,"Santiago et al, 2016[22]",60-40-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.86:0.12:0.02,79,119
150,"Santiago et al, 2016[22]",50-50-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.88:0.1:0.02,89,129
151,"Santiago et al, 2016[22]",40-60-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.89:0.08:0.03,99,139
152,"Santiago et al, 2016[22]",30-70-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.91:0.06:0.03,112,152
153,"Tanpikasit et al, 2014 [48]",BA-a 30 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.3:0.7,51,53.09
154,"Tanpikasit et al, 2014 [48]",BA-a 40 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.4:0.6,88,90.32
155,"Tanpikasit et al, 2014 [48]",BA-a 50 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.5,140,142.85
156,"Tanpikasit et al, 2015 [49]",BA-a 30 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.3:0.7,51,57.59
157,"Tanpikasit et al, 2015 [49]",BA-a 35 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.35:0.65,70,74.48
158,"Tanpikasit et al, 2015 [49]",BA-a 40 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.4:0.6,88,78.79
159,"Tanpikasit et al, 2015 [49]",BA-a 45 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.45:0.55,122,89.13
160,"Tanpikasit et al, 2015 [49]",BA-a 50 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.5,140,145.48
161,"Choong et al , 2016[11]",tba-DEGDA(80-20),"{C=C(C)C(=O)OCCCC,  C=CC(=O)OCCOCCOC(=O)C=C}",0.87:0.13,61.5,42.56
162,"Choong et al , 2016[11]",tba-DEGDA(70-30),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.8:0.2,65.4,61.04
163,"Zheng et al, 2015 [16]",EPON2,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.57:0.43,70,69.67
164,"Zheng et al, 2015 [16]",EPON3,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.63:0.37,79,81.22
165,"Lakhera et al, 2012 [20]",tba-co-XLS(20%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.91:0.06:0.03,53.35,56.01
166,"Lakhera et al, 2012 [20]",tba-co-XLS(30%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.64:0.25:0.11,57.11,58.6
167,"Jo et al, 2018 [29]",D230-5,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.73:0.23:0.04,113.8,113.26
168,"Jo et al, 2018 [29]",D230-15,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.75:0.24:0.01,146.5,148.42
169,"Jo et al, 2018 [29]",D400-6,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.73:0.23:0.04,114.3,118.17
170,"Jo et al, 2018 [29]",D400-11,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.7:0.22:0.08,122.5,132.11
171,"Ortega et al, 2012[21]",tba-co-PEGDMA(2%),"{C=C(C)C(=O)OCCCC, CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O}",0.994:0.002:0.004,57,67
172,"Ortega et al, 2012[21]",tba-co-PEGDMA(40%),"{C=C(C)C(=O)OCCCC, CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O}",0.834:0.103:0.063,55,65
173,"Cheng et al , 2020[25]",DER-NMA-0.05TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.488:0.488:0.024,124.4,134.24
174,"Cheng et al , 2020[25]",DER-NMA-0.15TEOA5,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.465:0.465:0.07,124.1,128.94
175,"Cheng et al , 2020[25]",DER-NMA-0.2TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.45:0.45:0.1,119,124.08
176,"Chen et al, 2018[28]",EVC3S7,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.35:0.15,46.6,35.7
177,"Chen et al, 2018[28]",EVC4S6,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.3:0.2,50.3,42.71
178,"Xie et al, 2009[30]", DA1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.62:0.23:0.15,76.31,79.27
179,"Xie et al, 2009[30]",DA2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.57:0.14:0.29,64.53,68.91
180,"Xie et al, 2009[30]",DA3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.53:0.07:0.4,76.31,53.65
181,"Xie et al, 2009[30]",NGDE1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.33:0.17,57.87,72.66
182,"Xie et al, 2009[30]",NGDE2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.34:0.33:0.33,37.64,52.04
183,"Xie et al, 2009[30]",NGDE3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.17:0.33:0.5,23.17,31.99
