No,Reference,SMPname,SMILES,Molar Ratio,Tg,Glassy Modulus(GPa),Rubbery Modulus (MPa),Low Temp.,High Temp
129,"Fan et al., 2013[42]",EPD230(20),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.678:0.053:0.269,76,1.051,89.73,68.43,83.54
130,"Fan et al., 2013[42]",EPD230(40),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.674:0.112:0.214,69,1.021,113.351,61.76,79.29
131,"Fan et al., 2013[42]",EPD230(60),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.67:0.179:0.151,63,1.044,125.29,50.53,67.93
132,"Fan et al., 2013[42]",EPD230(80),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC1(C)CC(N)CC(C)(CN)C1}",0.665:0.254:0.081,53,1.017,149.99,49.21,62.41
133,"Fan et al., 2014[43]",EP06(0),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.33:0.67,95,1.0845,11.48,86.35,97.42
134,"Fan et al., 2014[43]",EP06(25),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.264:0.063:0.673,80.5,1.083,9.99,69.16,84.79
135,"Fan et al., 2014[43]",EP06(50),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4, CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.19:0.14:0.67,66.9,1.039,7.46,54.95,72.96
136,"Fan et al., 2014[43]",EP06(75),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.104:0.226:0.67,54.05,1.06,6.97,47.49,57.01
137,"Fan et al., 2014[43]",EP06(85),"{CC(C)(c2ccc(OCCOCC1CO1)cc2)c4ccc(OCCOCC3CO3)cc4,CC(C)(c2ccc(OCCOCCOCCOC1CO1)cc2)c4ccc(OCCOCCOCCC3CO3)cc4, O=C1OC(=O)C2CCCCC12}",0.065:0.266:0.669,46.43,1.022,6.81,36.05,48.79
138,"Santiago et al, 2016b[44]",90D400-10LP,"{C(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N, NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.719:0.265:0.016,60,2.878,16,20,100
139,"Santiago et al, 2016b[44]",60D400-40LP,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N, NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.779:0.172:0.049,87,3.149,29,47,127
140,"Santiago et al, 2016b[44]",300D400-70LP,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N, NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN}",0.832:0.084:0.084,117,2.858,52,77,157
141,"Wei et al., 2015[45]",A,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6, CC(=O)C1CCCCC1C(C)=O}",0.33:0.67,113,1.097,16.2,101.73,117.68
142,"Wei et al., 2015[45]",B,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.1765:0.1176:0.7059,121,1.08,16.93,111.16,127.62
143,"Wei et al., 2015[45]",C,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6,O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.25:0.0625:0.6875,128,1.098,18.1,115.08,135.55
144,"Wei et al., 2015[45]",D,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6, O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.212:0.091:0.697,135,1.109,18.51,122.1,140.26
145,"Wei et al., 2015[45]",E,"{CC(C)(C4CCC(OCC(O)COC3CCC(C(C)(C)C2CCC(OCC1CO1)CC2)CC3)CC4)C6CCC(OCC5CO5)CC6, O=C(OCC1CO1)C3CC2OC2CC3C(=O)OCC4CO4, CC(=O)C1CCCCC1C(C)=O}",0.1765:0.1176:0.7059,142,1.109,19.8,131.13,150.9
146,"Ma et al., 2017 [46]",MDS-EPO,"{Nc2ccc(SSc1ccc(N)cc1)cc2, C1OC1COC3COC4C(OC2CO2)COC34}",0.33:0.67,41.4,0.997,0.36,53.03,79.79
147,"Ma et al., 2017 [46]",MDA-EPO,"{Nc2ccc(Cc1ccc(N)cc1)cc2, C1OC1COC3COC4C(OC2CO2)COC34}",0.33:0.67,37.3,1.064,0.34,47.34,77
148,Hassan et al. 2015 [47],33 Bis A,"{Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2, CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4}",0.33:0.67,187,9.34,24,176.09,191.92
149,Hassan et al. 2015 [47],44 Bis A,"{Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2, CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4}",0.33:0.67,219,9.131,28,200.69,224.14
150,"Santiago et al, 2016[22]",70-30-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.85:0.14:0.01,77,3.105,23,37,107
151,"Santiago et al, 2016[22]",40-60-FG,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.89:0.08:0.03,104,3.221,41,64,144
152,"Santiago et al, 2016[22]",90-10-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.807:0.188:0.005,56,3.05,15,16,96
153,"Santiago et al, 2016[22]",80-20-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.82:0.17:0.01,64,3.111,18,24,104
154,"Santiago et al, 2016[22]",70-30-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.84:0.14:0.02,70,3.253,22,30,110
155,"Santiago et al, 2016[22]",60-40-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.86:0.12:0.02,79,3.008,23,39,119
156,"Santiago et al, 2016[22]",50-50-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6,CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.88:0.1:0.02,89,3.166,32,49,129
157,"Santiago et al, 2016[22]",40-60-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.89:0.08:0.03,99,2.936,44,59,139
158,"Santiago et al, 2016[22]",30-70-PR,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N, CCNCCN(CCN)CCNCCN(CCNCCN(CC)CCN)CCN(CCNCC)CCN(CC)CCN}",0.91:0.06:0.03,112,2.871,58,72,152
159,"Tanpikasit et al, 2014 [48]",BA-a 30 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.3:0.7,51,2.82,39.04,35,53.09
160,"Tanpikasit et al, 2014 [48]",BA-a 40 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.4:0.6,88,3.85,80.76,35,90.32
161,"Tanpikasit et al, 2014 [48]",BA-a 50 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.5,140,4.5,171.97,35,142.85
162,"Tanpikasit et al, 2015 [49]",BA-a 30 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.3:0.7,51,3.365,37.89,38,57.59
163,"Tanpikasit et al, 2015 [49]",BA-a 35 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.35:0.65,70,3.545,44.22,57.06,74.48
164,"Tanpikasit et al, 2015 [49]",BA-a 40 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.4:0.6,88,3.653,80.52,66.61,78.79
165,"Tanpikasit et al, 2015 [49]",BA-a 45 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.45:0.55,122,3.977,95.41,93.25,89.13
166,"Tanpikasit et al, 2015 [49]",BA-a 50 mol%,"{CC(C)(c3ccc2OCN(c1ccccc1)Cc2c3)c6ccc5OCN(c4ccccc4)Cc5c6, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.5,140,4.553,129.76,111.67,145.48
167,"Wu et al, 2019[5]",DLP SMP #1,"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCCCCCOC(=O)C=C}",0.94:0.06,48.7,0.922,61.15,29.16,38.81
168,"Choong et al , 2016[11]",tba-DEGDA(80-20),"{C=C(C)C(=O)OCCCC,  C=CC(=O)OCCOCCOC(=O)C=C}",0.87:0.13,61.5,9.615,0.158,25.16,42.56
169,"Choong et al , 2016[11]",tba-DEGDA(70-30),"{C=C(C)C(=O)OCCCC, C=CC(=O)OCCOCCOC(=O)C=C}",0.8:0.2,65.4,9.17,0.177,40.15,61.04
170,"Zheng et al, 2015 [16]",EPON2,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.57:0.43,70,10.346,7.39,64.67,69.67
171,"Zheng et al, 2015 [16]",EPON3,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, CC(N)COCC(C)N}",0.63:0.37,79,9.938,13.85,71.64,81.22
172,"Lakhera et al, 2012 [20]",tba-co-XLS(20%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.91:0.06:0.03,53.35,8.51,4.38,44.95,56.01
173,"Lakhera et al, 2012 [20]",tba-co-XLS(30%),"{C=C(C)C(=C)OCOCCOC(=O)C(=C)C, C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C, C=CC(=O)OC(C)(C)C}",0.64:0.25:0.11,57.11,8.51,11.56,51.78,58.6
174,"Jo et al, 2018 [29]",D230-5,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.73:0.23:0.04,113.8,2.801,6.6,105.88,113.26
175,"Jo et al, 2018 [29]",D230-15,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.75:0.24:0.01,146.5,2.046,21.2,142.29,148.42
176,"Jo et al, 2018 [29]",D400-6,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.73:0.23:0.04,114.3,2.297,7.8,101.56,118.17
177,"Jo et al, 2018 [29]",D400-11,"{CC(C)(c4ccc(OCC(O)COc3ccc(C(C)(C)c2ccc(OCC1CO1)cc2)cc3)cc4)c6ccc(OCC5CO5)cc6, Nc2ccc(Cc1ccc(N)cc1)cc2, CC(N)COCC(C)N}",0.7:0.22:0.08,122.5,2.17,13.8,112.81,132.11
178,"Ortega et al, 2012[21]",tba-co-PEGDMA(2%),"{C=C(C)C(=O)OCCCC, CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O}",0.994:0.002:0.004,57,1.087,1.1,47,67
179,"Ortega et al, 2012[21]",tba-co-PEGDMA(40%),"{C=C(C)C(=O)OCCCC, CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O, C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O}",0.834:0.103:0.063,55,1.095,23.4,45,65
180,"Cheng et al , 2020[25]",DER-NMA-0.05TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.488:0.488:0.024,124.4,1.995,12,114.74,134.24
181,"Cheng et al , 2020[25]",DER-NMA-0.15TEOA5,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.465:0.465:0.07,124.1,2.11,10,110.33,128.94
182,"Cheng et al , 2020[25]",DER-NMA-0.2TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.45:0.45:0.1,119,1.949,5,103.24,124.08
183,"Chen et al, 2018[28]",EVC3S7,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.35:0.15,46.6,1.768,76.1,27.96,35.7
184,"Chen et al, 2018[28]",EVC4S6,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.3:0.2,50.3,1.865,20.55,32.71,42.71
185,"Xie et al, 2009[30]", DA1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.62:0.23:0.15,76.31,2.316,11.6,72.68,79.27
186,"Xie et al, 2009[30]",DA2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.57:0.14:0.29,64.53,2.679,7.42,58.35,68.91
187,"Xie et al, 2009[30]",DA3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.53:0.07:0.4,76.31,2.517,3.04,43.29,53.65
188,"Xie et al, 2009[30]",NGDE1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.33:0.17,57.87,2.476,13.98,64.33,72.66
189,"Xie et al, 2009[30]",NGDE2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.34:0.33:0.33,37.64,3.041,9.78,42.72,52.04
190,"Xie et al, 2009[30]",NGDE3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.17:0.33:0.5,23.17,2.437,4.78,26.2,31.99
191,"Lin and Chen,1999[10]",A5,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.588:0.059:0.353,135.59,9.391,10.28,115.59,155.59
192,"Lin and Chen,1999[10]",A6,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.59:0.049:0.361,135.59,9.391,12.87,115.59,155.59
193,"Lin and Chen,1999[10]",B2,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.571:0.143:0.286,15.45,9.357,1.61,-5.45,35.45
194,"Lin and Chen,1999[10]",B3,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.58:0.1:0.32,42.09,9.357,4.3,22.09,62.09
195,"Lin and Chen,1999[10]",B4,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.59:0.07:0.34,54.81,9.357,5.74,34.81,74.81
196,"Lin and Chen,1999[10]",B5,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.588:0.059:0.353,63.14,9.357,14.83,43.14,83.14
197,"Lin and Chen,1999[10]",B6,"{O=C=Nc2ccc(Cc1ccc(N=C=O)cc1)cc2, COCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCCCC(C)=O, CCC(CO)(CO)CO}",0.59:0.049:0.361,67.52,9.318,15.3,47.52,87.52
